序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
3,002156,通富微电,10.007468223571777,44.19,578005120,67056213690.18,67062607541.28,0.8619710206985474,1965116131.0,092500,092500,0.0,1/1,1.0,半导体,1,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,涨停,,,,,,,,,1
8,603011,合锻智能,10.025444984436035,21.62,192608451,10689240127.94,10689240019.84,1.8018909692764282,443307095.0,092503,092503,0.0,8/4,2.0,专用设备,4,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,涨停,,,,,,,,,4
1,000021,深科技,10.010764122009277,30.66,5383958784,48045119748.36,48052825403.52,11.253837585449219,303013577.0,092500,095018,4.0,6/3,2.0,消费电子,9,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,涨停,,,,,,,,,9
2,001337,四川黄金,9.996391296386719,30.48,233539193,8792138880.0,12801600000.0,2.6562273502349854,202672401.0,092500,092500,0.0,1/1,1.0,贵金属,10,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,涨停,,,,,,,,,10
6,300948,冠中生态,20.024799346923828,19.36,63166840,2534370884.3199997,2711020081.44,2.4924070835113525,156399760.0,092500,092500,0.0,3/3,3.0,环保行业,13,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,涨停,,,,,,,,,13
7,600635,大众公用,10.051107406616211,6.46,1028919952,15625394220.5,19072727981.12,6.594673156738281,117379188.0,092502,095629,4.0,8/4,1.0,燃气,23,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,涨停,,,,,,,,,23
4,002796,世嘉科技,9.994874000549316,21.46,677897376,4843017325.18,5417082304.08,14.048286437988281,41507846.0,092500,131418,13.0,1/1,1.0,专用设备,63,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,涨停,,,,,,,,,63
5,002913,奥士康,10.0049409866333,44.53,671377664,13434040798.220001,14132063599.36,5.019635200500488,32199643.0,092500,095836,5.0,1/1,1.0,电子元件,72,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,涨停,,,,,,,,,72
1,002513,蓝丰生化,-10.0,9.36,1183746352,2482233773.7599998,3328078890.24,45.407691955566406,,092500,,1.0,8/7,,农药兽药,1,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,炸板,,,,,,11.44,0.0,20.0,89
18,603300,海南华铁,-10.020661354064941,8.71,174299294,17389304792.86,17389304845.120003,1.0023361444473267,-2642077882.0,092502,092502,,,,专用设备,1,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,跌停,25.490888595581055,2642077882.0,4175736877.0,1.0,0.0,,,,123
17,301052,果麦文化,-20.0,61.2,62760600,4907990242.8,6056311546.8,1.2787433862686157,-931082601.0,092500,092500,,,,文化传媒,2,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,跌停,534.7117309570312,931082601.0,466888680.0,1.0,0.0,,,,124
14,000056,皇庭国际,-9.923664093017578,2.36,71018064,2132794617.8799999,2790766608.64,3.329812526702881,-131566991.0,092500,092500,,,,房地产服,5,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,跌停,-7.525949478149414,131566991.0,406872260.0,1.0,0.0,,,,127
13,688189,南新制药,-19.964820861816406,9.1,29425978,2497040000.0,2497040000.0,1.1784343719482422,-131044295.0,092504,092504,,,,化学制药,6,竞价阶段(09:15-09:25),2025-10-09 19:09:00,20251009,跌停,-31.211193084716797,131044295.0,493498549.0,1.0,0.0,,,,128
