datetime,type,size,price,symbol,signal_date,trade_num
2025-03-18T00:00:00,BUY,5625,15.85,603232,,1
2025-03-25T00:00:00,SELL,-5625,14.25,603232,,1
2025-06-03T00:00:00,BUY,5462,15.5,603232,,2
2025-06-11T00:00:00,SELL,-5462,14.47,603232,,2
2025-06-16T00:00:00,BUY,5015,15.03,603232,,3
2025-06-23T00:00:00,SELL,-5015,14.03,603232,,3
2025-06-30T00:00:00,BUY,4198,17.2,603232,,4
2025-07-17T00:00:00,SELL,-4198,16.94,603232,,4
2025-07-18T00:00:00,BUY,4128,17.28,603232,,5
2025-07-30T00:00:00,SELL,-4128,16.51,603232,,5
2025-10-20T00:00:00,BUY,4129,16.8,603232,,6
2025-10-23T00:00:00,SELL,-4129,16.94,603232,,6
2025-10-24T00:00:00,BUY,3900,19.43,603232,,7
